[-16.8733,-26.4733,-41.4833,-13.8083,-26.0883,-35.3283,-20.5267,-16.8967,-16.8733,-16.8733]
[0.81,0.96,0.408333,0.85,0.67,0.505,0.956667,0.786667,0.81,0.81]
[38,68,13,41,29,20,62,38,38,38]
[8,8,7,8,8,8,8,8,8,8]

[-17.8917,-10.77,-25.05,-21.515,-13.8533,-17.9183,-13.8267,-15.85,-17.8917,-17.8917]
[0.8,0.863333,0.7,0.96,0.805,0.773333,0.831667,0.825,0.8,0.8]
[37,44,30,63,41,37,41,39,37,37]
[8,8,8,8,8,8,8,8,8,8]

[-14.8367,-11.79,-14.8717,-12.81,-16.87,-16.875,-14.8467,-14.85,-14.8367,-14.8367]
[0.83,0.851667,0.795,0.84,0.813333,0.808333,0.82,0.816667,0.83,0.83]
[40,43,40,42,38,38,40,40,40,40]
[8,8,8,8,8,8,8,8,8,8]

[-11.7833,-8.73167,-12.86,-11.8067,-11.7967,-13.8283,-13.8267,-9.755,-11.7833,-11.7833]
[0.858333,0.885,0.798333,0.835,0.845,0.83,0.831667,0.87,0.858333,0.858333]
[43,46,41,43,43,41,41,45,43,43]
[8,8,7,8,8,8,8,8,8,8]

[-7.73833,-9.815,-8.76333,-8.74,-12.7933,-10.7767,-12.7933,-10.7733,-7.73833,-7.73833]
[0.87,0.818333,0.853333,0.876667,0.856667,0.856667,0.856667,0.86,0.87,0.87]
[47,44,46,46,42,44,42,44,47,47]
[8,7,8,8,8,8,8,8,8,8]

[-10.7883,-10.8333,-7.69333,-11.7883,-11.77,-8.69,-10.795,-10.8017,-10.7883,-10.7883]
[0.845,0.808333,0.898333,0.853333,0.871667,0.893333,0.838333,0.831667,0.845,0.845]
[44,43,49,43,43,50,44,44,44,44]
[8,7,8,8,8,8,8,8,8,8]

[-13.835,-10.81,-8.67333,-8.72833,-9.77833,-11.8,-13.835,-10.7733,-47.9583,-10.815]
[0.823333,0.823333,0.91,0.888333,0.846667,0.841667,0.823333,0.86,0.0333333,0.818333]
[41,44,50,46,45,43,41,44,1,44]
[8,8,8,8,8,8,8,8,1,8]

[-12.8117,-9.77667,-9.66333,-7.68333,-8.76333,-10.7933,-10.79,-11.7833,-12.8117,-12.8117]
[0.838333,0.848333,0.911667,0.908333,0.853333,0.84,0.843333,0.858333,0.838333,0.838333]
[42,45,51,49,46,44,44,43,42,42]
[8,8,8,8,8,8,8,8,8,8]

[-10.8017,-10.6433,-8.655,-9.785,-9.77,-9.75833,-12.8,-11.7883,-10.8017,-10.8017]
[0.831667,0.923333,0.928333,0.84,0.855,0.866667,0.85,0.853333,0.831667,0.831667]
[44,52,50,45,45,45,42,43,44,44]
[8,8,8,8,8,8,8,8,8,8]

[-11.8217,-7.70667,-10.8117,-12.81,-9.76333,-9.80667,-7.75167,-11.8233,-11.8217,-11.8217]
[0.82,0.901667,0.821667,0.84,0.861667,0.818333,0.856667,0.818333,0.82,0.82]
[43,47,44,42,45,45,47,43,43,43]
[8,8,8,8,8,8,8,8,8,8]

[-10.8133,-6.7,-9.76167,-10.8083,-6.71667,-10.8,-10.7683,-10.8317,-10.8133,-10.8133]
[0.82,0.9,0.863333,0.825,0.883333,0.833333,0.865,0.801667,0.82,0.82]
[44,48,45,44,48,44,44,44,44,44]
[8,8,8,8,8,8,8,8,8,8]

[-7.67667,-8.72667,-7.735,-7.69833,-7.73833,-9.735,-11.825,-9.77833,-7.67667,-7.67667]
[0.915,0.89,0.873333,0.893333,0.87,0.89,0.816667,0.846667,0.915,0.915]
[49,46,47,49,47,45,43,45,49,49]
[8,8,8,8,8,8,8,8,8,8]

[-10.64,-8.74333,-6.70333,-8.77167,-8.72667,-10.6317,-8.65667,-10.6417,-10.64,-10.64]
[0.926667,0.873333,0.896667,0.845,0.89,0.935,0.926667,0.925,0.926667,0.926667]
[52,46,48,46,46,52,50,52,52,52]
[8,8,8,8,8,8,8,8,8,8]

[-11.635,-7.73333,-7.685,-7.72,-11.6233,-7.66833,-11.635,-9.67833,-11.635,-11.635]
[0.923333,0.875,0.906667,0.888333,0.935,0.923333,0.923333,0.896667,0.923333,0.923333]
[53,47,49,47,53,49,53,51,53,53]
